coin_id,name,symbol,price_usd,last_updated
bitcoin,Bitcoin,btc,87645,2025-12-28T05:56:13.703Z
ethereum,Ethereum,eth,2936.87,2025-12-28T05:56:13.355Z
tether,Tether,usdt,0.999444,2025-12-28T05:56:03.663Z
binancecoin,BNB,bnb,843.03,2025-12-28T05:56:13.141Z
ripple,XRP,xrp,1.87,2025-12-28T05:56:03.538Z
usd-coin,USDC,usdc,1,2025-12-28T05:56:03.663Z
solana,Solana,sol,123.8,2025-12-28T05:56:03.480Z
tron,TRON,trx,0.28359,2025-12-28T05:56:03.372Z
staked-ether,Lido Staked Ether,steth,2936.09,2025-12-28T05:56:03.033Z
dogecoin,Dogecoin,doge,0.123858,2025-12-28T05:56:03.127Z
figure-heloc,Figure Heloc,figr_heloc,1.02,2025-12-28T03:16:53.502Z
cardano,Cardano,ada,0.371152,2025-12-28T05:56:03.565Z
bitcoin-cash,Bitcoin Cash,bch,614.77,2025-12-28T05:56:03.381Z
whitebit,WhiteBIT Coin,wbt,56.21,2025-12-28T05:56:03.438Z
wrapped-steth,Wrapped stETH,wsteth,3590.81,2025-12-28T05:56:03.086Z
wrapped-bitcoin,Wrapped Bitcoin,wbtc,87402,2025-12-28T05:56:03.432Z
wrapped-beacon-eth,Wrapped Beacon ETH,wbeth,3193.07,2025-12-28T05:56:03.075Z
usds,USDS,usds,0.999649,2025-12-28T05:56:09.269Z
wrapped-eeth,Wrapped eETH,weeth,3184.75,2025-12-28T05:56:14.219Z
binance-bridged-usdt-bnb-smart-chain,Binance Bridged USDT (BNB Smart Chain),bsc-usd,0.999332,2025-12-28T05:56:03.807Z
chainlink,Chainlink,link,12.44,2025-12-28T05:56:03.576Z
zcash,Zcash,zec,515.1,2025-12-28T05:56:03.189Z
monero,Monero,xmr,454.33,2025-12-28T05:56:03.536Z
leo-token,LEO Token,leo,8.37,2025-12-28T05:56:03.112Z
weth,WETH,weth,2936.24,2025-12-28T05:56:04.317Z
stellar,Stellar,xlm,0.222759,2025-12-28T05:56:03.683Z
coinbase-wrapped-btc,Coinbase Wrapped BTC,cbbtc,87607,2025-12-28T05:56:05.009Z
ethena-usde,Ethena USDe,usde,0.998815,2025-12-28T05:56:03.925Z
hyperliquid,Hyperliquid,hype,26.01,2025-12-28T05:56:03.903Z
litecoin,Litecoin,ltc,79.13,2025-12-28T05:56:03.642Z
avalanche-2,Avalanche,avax,12.8,2025-12-28T05:56:03.456Z
sui,Sui,sui,1.45,2025-12-28T05:56:04.272Z
hedera-hashgraph,Hedera,hbar,0.115966,2025-12-28T05:56:04.018Z
uniswap,Uniswap,uni,6.19,2025-12-28T05:56:03.713Z
susds,sUSDS,susds,1.081,2025-12-28T05:56:03.953Z
shiba-inu,Shiba Inu,shib,0.00000734,2025-12-28T05:56:03.494Z
canton-network,Canton,cc,0.117022,2025-12-28T05:56:03.223Z
dai,Dai,dai,0.999499,2025-12-28T05:56:03.678Z
usdt0,USDT0,usdt0,0.999271,2025-12-28T05:56:03.958Z
the-open-network,Toncoin,ton,1.61,2025-12-28T05:56:04.333Z
world-liberty-financial,World Liberty Financial,wlfi,0.143306,2025-12-28T05:56:05.501Z
paypal-usd,PayPal USD,pyusd,0.999623,2025-12-28T05:56:03.768Z
crypto-com-chain,Cronos,cro,0.093658,2025-12-28T05:56:03.335Z
ethena-staked-usde,Ethena Staked USDe,susde,1.21,2025-12-28T05:56:10.616Z
mantle,Mantle,mnt,1.047,2025-12-28T05:56:03.532Z
usd1-wlfi,USD1,usd1,1,2025-12-28T05:56:03.830Z
polkadot,Polkadot,dot,1.89,2025-12-28T05:56:03.638Z
rain,Rain,rain,0.00810372,2025-12-28T05:56:03.492Z
memecore,MemeCore,m,1.47,2025-12-28T05:56:03.560Z
bitget-token,Bitget Token,bgb,3.46,2025-12-28T05:56:03.584Z
tether-gold,Tether Gold,xaut,4551.57,2025-12-28T05:56:03.869Z
aave,Aave,aave,154.69,2025-12-28T05:56:03.670Z
okb,OKB,okb,107.96,2025-12-28T05:56:03.475Z
falcon-finance,Falcon USD,usdf,0.998241,2025-12-28T05:56:08.079Z
bittensor,Bittensor,tao,224.53,2025-12-28T05:56:03.653Z
